id	func	details_en
O13	D	Determinative in sbḫ “enclose,” sbḫt “gateway.”
O14	D	Use as O13
O15	I	Logogram in wsḫt “hall.”
O16	ID	Determinative or Logogram in tꜣyt “curtain,” tꜣyty “he of the curtain” (vizier title).
O17	ID	Use as O16
O18	ID	Determinative or Logogram in kꜣr “shrine, chapel.”
O19	D	Determinative in pr-wr “Great House.”
O20	D	Determinative in itrt “row of sanctuaries,” ḫm “shrine.”
O21	ID	Determinative or Logogram in sḥ-nṯr “divine shrine.”
O22	ID	Determinative or Logogram in sḥ “counsel,” “booth.”
O23	I	Logogram in ḥꜣb-sd “Sed Festival.”
O24	D	Determinative in mr “pyramid.”
O25	ID	Determinative or Logogram in tḫn “obelisk.”
O26	ID	Determinative or Logogram in wḏ “stela.”
O27	D	Determinative in ḫꜣ “office,” ḫꜣwy “night.”
O28	P	Phono iwn. In iwnw “Heliopolis,” iwn “column.”
O29	P	Phonogram ꜥꜣ. In ꜥꜣ “great.”
O30	ID	Determinative or logogram in sḫnt (“support, pillar”).
O31	D	Determinative in ꜥꜣ “door,” sn, wn “open.”
O32	D	Determinative in sbꜣ “door,” sbḫt “gateway.”
O33	D	Determinative in srḫ “banner.”
O34	P	Phonogram s. In s “bolt.”
O35	P	Phonogram s. In sbi “go,” “perish,” ms “bring.”
O36	ID	Determinative of wall. Logogram for ỉnb (“wall”).
O37	D	Determinative in whn “overthrow,” gsꜣ “tilt.”
O38	I	Logogram in qnbt “court, corner, magistrates.”
O39	D	Determinative in inr “stone,” dbni “deben (weight),” ḏbt “brick.”
O40	D	Determinative in rwd “stairwaway,” ḫtyw “terrace.”
O41	D	Determinative in qꜣy “high place,” iꜥr “ascend.”
O43		Use as O42
O44	I	Logogram in iꜣt “rank, office.”
O45	ID	Determinative or Logogram in ipt “harim.”
O46	ID	Use as O45.
O47	I	Logogram in nḫn “Hierakonpolis.”
O48	I	Variant of O47. Logogram for nḫn (“Hierakonpolis”).
O49	I	Logogram in niwt “town.”
O50	P	Phonogram sp. In sp “occasion, time, event,” sp sn “two times.”
O51	ID	Determinative or Logogram in šnwt “granary.”
P1	D	Determinative of boats. In dpt “ship,” ḥꜥw “ships,” ḫdi “sail downstream.”
P2	D	Determinative in ḫnti “sail upstream.”
P3	D	Determinative wiꜣ “sacred bark,” ḏꜣi “cross”
P4	P	Phonogram wḥꜥ. In wḥꜥ “fisherman.”
P5	ID	Determinative or Logogram in ṯꜣw “wind, breath.” Determinative mḥyt “north wind.”
P6	P	Phonogram ꜥḥꜥ. In ꜥḥꜥ “stand.”
P7	P	Use as P6.
P8	P	Phono ḫrw. In mꜣꜥ ḫrw “justified” ḫrw “voice,” ḫrwy “enemy.”
P9	I	Ideo for ḫr.fy “says, said.”
P10	D	Determinative in ḥmw “steering oar,” ḥmy “steerer”
P11	D	Determinative in mnit “mooring post.”
Q1	P	Phonogram st, ws. In st “seat, place,” wsir “Osiris,” ḥtm “perish.”
Q2	P	Phonogram ws. In wsir “Osiris.”
Q3	P	Phonogram p.
Q4	D	Determinative in wrs “headrest.”
Q5	D	Determinative in hn “box,” ꜥfdt “chest.”
Q6	ID	Determinative or Logogram in qrs “bury,” qrsw “coffin.”
Q7	D	Determinative of fire. In ḫt “fire,” sḏt “flame,” srf “temperature.”
R1	ID	Determinative or Logogram in ḫꜣt, ḫꜣwt “offering table.”
R2	ID	Use as R1.
R3	ID	Determinative or Logogram in wḥḏw “offering table.”
R4	P	Phonogram ḥtp. In ḥtp “altar, rest, be pleased.”
R5	ID	Determinative or Logogram in kꜣp “fumigate.”
R6	ID	Use as R5
R7	ID	Determinative or Logogram in sntr “incense.”
R8	PI	Logogram and phonogram nṯr (“god”). A pole wrapped in cloth, an emblem of divinity.
R9	ID	Determinative or Logogram in bd “incense.”
R10	I	Logogram in ẖrt-nṯr “necropolis.”
R11	P	Phonogram ḏd. In ḏd “stable,” ḏdw “Busiris.”
R12	D	Determinative in iꜣt “standard.”
R13	I	Logogram in imnt “West,” wnmi “right.”
R14	I	Logogram in imnt “West,” wnmi “right.”
R15	I	Logogram in iꜣbt “East,” iꜣby “left.”
R16	ID	Determinative or Ideo in wḫ “Qus emblem.”
R17	ID	Determinative or Logogram in tꜣ-wr “This,” “nome of Abydos.”
